x	y	method	rep
25.0	12301.205462441127	coal	r1
25.0	12300.0	census	r1
495.44544544544544	12323.912744005216	coal	r1
495.44544544544544	12300.0	census	r1
965.8908908908909	12346.663191806112	coal	r1
965.8908908908909	12300.0	census	r1
1436.3363363363364	12369.45560293437	coal	r1
1436.3363363363364	12300.0	census	r1
1906.7817817817818	12392.28855181087	coal	r1
1906.7817817817818	12300.0	census	r1
2377.2272272272276	12415.160356944341	coal	r1
2377.2272272272276	12300.0	census	r1
2847.672672672673	12438.06904312963	coal	r1
2847.672672672673	12300.0	census	r1
3318.118118118118	12461.012298498183	coal	r1
3318.118118118118	12300.0	census	r1
3788.5635635635635	12483.987425760757	coal	r1
3788.5635635635635	12300.0	census	r1
4259.00900900901	12506.991286903798	coal	r1
4259.00900900901	12300.0	census	r1
4729.454454454455	12530.020240514677	coal	r1
4729.454454454455	12300.0	census	r1
5199.8998998998995	12553.070070815329	coal	r1
5199.8998998998995	12300.0	census	r1
5670.345345345346	12576.135907380454	coal	r1
5670.345345345346	12300.0	census	r1
6140.790790790791	12599.212134402804	coal	r1
6140.790790790791	12300.0	census	r1
6611.236236236236	12622.292288246363	coal	r1
6611.236236236236	12300.0	census	r1
7081.681681681683	12645.368941897143	coal	r1
7081.681681681683	12300.0	census	r1
7552.127127127127	12668.433574782182	coal	r1
7552.127127127127	12300.0	census	r1
8022.572572572572	12691.476426281586	coal	r1
8022.572572572572	12300.0	census	r1
8493.01801801802	12714.486331107957	coal	r1
8493.01801801802	12300.0	census	r1
8963.463463463464	12737.450534574393	coal	r1
8963.463463463464	12300.0	census	r1
9433.90890890891	12760.354485622816	coal	r1
9433.90890890891	12300.0	census	r1
9904.354354354355	12783.181605342344	coal	r1
9904.354354354355	12300.0	census	r1
10374.799799799799	12805.913028581359	coal	r1
10374.799799799799	12300.0	census	r1
10845.245245245245	12828.527316159252	coal	r1
10845.245245245245	12300.0	census	r1
11315.690690690692	12851.000135125063	coal	r1
11315.690690690692	12300.0	census	r1
11786.136136136136	12873.303904512051	coal	r1
11786.136136136136	12300.0	census	r1
12256.581581581582	12895.407404120144	coal	r1
12256.581581581582	12300.0	census	r1
12727.027027027027	12917.275344053349	coal	r1
12727.027027027027	12300.0	census	r1
13197.472472472473	12938.867893081751	coal	r1
13197.472472472473	12300.0	census	r1
13667.91791791792	12960.14016443611	coal	r1
13667.91791791792	12300.0	census	r1
14138.363363363365	12981.041658430604	coal	r1
14138.363363363365	12300.0	census	r1
14608.808808808808	13001.515662417114	coal	r1
14608.808808808808	12300.0	census	r1
15079.254254254254	13021.498610083472	coal	r1
15079.254254254254	12300.0	census	r1
15549.6996996997	13040.91940411611	coal	r1
15549.6996996997	12300.0	census	r1
16020.145145145145	13059.698708867558	coal	r1
16020.145145145145	12300.0	census	r1
16490.59059059059	13077.74822302884	coal	r1
16490.59059059059	12300.0	census	r1
16961.03603603604	13094.969946552288	coal	r1
16961.03603603604	12300.0	census	r1
17431.48148148148	13111.25546134661	coal	r1
17431.48148148148	12300.0	census	r1
17901.926926926928	13126.485251735296	coal	r1
17901.926926926928	12300.0	census	r1
18372.372372372374	13140.528098469427	coal	r1
18372.372372372374	12300.0	census	r1
18842.81781781782	13153.240589333192	coal	r1
18842.81781781782	12300.0	census	r1
19313.263263263263	13164.46680013307	coal	r1
19313.263263263263	12300.0	census	r1
19783.70870870871	13174.03821207733	coal	r1
19783.70870870871	12300.0	census	r1
20254.154154154156	13181.7739450537	coal	r1
20254.154154154156	12300.0	census	r1
20724.599599599598	13187.481400698945	coal	r1
20724.599599599598	12300.0	census	r1
21195.045045045044	13190.957423738271	coal	r1
21195.045045045044	12300.0	census	r1
21665.49049049049	13324.599145034015	coal	r1
21665.49049049049	12300.0	census	r1
22135.935935935937	13409.561091271078	coal	r1
22135.935935935937	12300.0	census	r1
22606.381381381383	13491.327023555164	coal	r1
22606.381381381383	12300.0	census	r1
23076.82682682683	13569.87346642175	coal	r1
23076.82682682683	12300.0	census	r1
23547.272272272272	13645.182690973656	coal	r1
23547.272272272272	12300.0	census	r1
24017.71771771772	13717.242640709681	coal	r1
24017.71771771772	12300.0	census	r1
24488.163163163164	13786.04683597677	coal	r1
24488.163163163164	12300.0	census	r1
24958.608608608607	13851.59425826619	coal	r1
24958.608608608607	12300.0	census	r1
25429.054054054053	13913.889215682982	coal	r1
25429.054054054053	12300.0	census	r1
25899.4994994995	13972.941191007954	coal	r1
25899.4994994995	12300.0	census	r1
26369.944944944946	14028.764673844387	coal	r1
26369.944944944946	12300.0	census	r1
26840.390390390392	14081.37897839672	coal	r1
26840.390390390392	12300.0	census	r1
27310.83583583584	14130.808048466284	coal	r1
27310.83583583584	12300.0	census	r1
27781.28128128128	14177.080251269477	coal	r1
27781.28128128128	12300.0	census	r1
28251.72672672673	14220.228161688809	coal	r1
28251.72672672673	12300.0	census	r1
28722.172172172173	14260.288338556174	coal	r1
28722.172172172173	12300.0	census	r1
29192.617617617616	14297.301094542914	coal	r1
29192.617617617616	12300.0	census	r1
29663.063063063066	14331.310261193303	coal	r1
29663.063063063066	12300.0	census	r1
30133.50850850851	14362.36295058846	coal	r1
30133.50850850851	12300.0	census	r1
30603.953953953955	14390.509315067527	coal	r1
30603.953953953955	12300.0	census	r1
31074.3993993994	14415.802306364156	coal	r1
31074.3993993994	12300.0	census	r1
31544.844844844847	14438.297435439656	coal	r1
31544.844844844847	12300.0	census	r1
32015.29029029029	14458.052534211505	coal	r1
32015.29029029029	12300.0	census	r1
32485.73573573574	14475.127520288497	coal	r1
32485.73573573574	12300.0	census	r1
32956.18118118118	14489.584165732684	coal	r1
32956.18118118118	12300.0	census	r1
33426.626626626625	14501.485870775265	coal	r1
33426.626626626625	12300.0	census	r1
33897.07207207208	14510.897443319254	coal	r1
33897.07207207208	12300.0	census	r1
34367.51751751752	14517.884884967565	coal	r1
34367.51751751752	12300.0	census	r1
34837.96296296296	14522.515184221897	coal	r1
34837.96296296296	12300.0	census	r1
35308.40840840841	14524.856117406764	coal	r1
35308.40840840841	12300.0	census	r1
35778.853853853856	14524.976057784057	coal	r1
35778.853853853856	12300.0	census	r1
36249.299299299295	14522.943793238346	coal	r1
36249.299299299295	12300.0	census	r1
36719.74474474475	14518.828352831826	coal	r1
36719.74474474475	12300.0	census	r1
37190.19019019019	14512.69884245062	coal	r1
37190.19019019019	12300.0	census	r1
37660.63563563564	14504.624289691634	coal	r1
37660.63563563564	12300.0	census	r1
38131.08108108108	14494.67349807221	coal	r1
38131.08108108108	12300.0	census	r1
38601.526526526526	14482.914910581972	coal	r1
38601.526526526526	12300.0	census	r1
