x	y	method	rep
29.0	13900.68944998923	coal	r1
29.0	13900.0	census	r1
878.7957957957958	13920.901134512085	coal	r1
878.7957957957958	13900.0	census	r1
1728.5915915915916	13941.127928206542	coal	r1
1728.5915915915916	13900.0	census	r1
2578.3873873873877	13961.367693338956	coal	r1
2578.3873873873877	13900.0	census	r1
3428.1831831831832	13981.618136956602	coal	r1
3428.1831831831832	13900.0	census	r1
4277.978978978978	14001.876802209496	coal	r1
4277.978978978978	13900.0	census	r1
5127.774774774775	14022.141059273674	coal	r1
5127.774774774775	13900.0	census	r1
5977.57057057057	14042.40809586024	coal	r1
5977.57057057057	13900.0	census	r1
6827.3663663663665	14062.674907293836	coal	r1
6827.3663663663665	13900.0	census	r1
7677.1621621621625	14082.938286142322	coal	r1
7677.1621621621625	13900.0	census	r1
8526.957957957957	14103.194811378717	coal	r1
8526.957957957957	13900.0	census	r1
9376.753753753754	14123.44083705365	coal	r1
9376.753753753754	13900.0	census	r1
10226.54954954955	14143.672480455545	coal	r1
10226.54954954955	13900.0	census	r1
11076.345345345344	14163.885609731777	coal	r1
11076.345345345344	13900.0	census	r1
11926.14114114114	14184.075830941836	coal	r1
11926.14114114114	13900.0	census	r1
12775.936936936936	14204.238474509391	coal	r1
12775.936936936936	13900.0	census	r1
13625.732732732733	14224.368581035418	coal	r1
13625.732732732733	13900.0	census	r1
14475.528528528528	14244.460886429362	coal	r1
14475.528528528528	13900.0	census	r1
15325.324324324325	14264.509806309357	coal	r1
15325.324324324325	13900.0	census	r1
16175.120120120118	14284.509419614775	coal	r1
16175.120120120118	13900.0	census	r1
17024.915915915914	14304.45345136699	coal	r1
17024.915915915914	13900.0	census	r1
17874.711711711712	14324.335254503483	coal	r1
17874.711711711712	13900.0	census	r1
18724.507507507507	14344.62764756781	coal	r1
18724.507507507507	13900.0	census	r1
19574.303303303303	14381.019054041035	coal	r1
19574.303303303303	13900.0	census	r1
20424.0990990991	14417.358966663483	coal	r1
20424.0990990991	13900.0	census	r1
21273.894894894893	14453.638303686754	coal	r1
21273.894894894893	13900.0	census	r1
22123.690690690688	14489.847449765595	coal	r1
22123.690690690688	13900.0	census	r1
22973.486486486487	14525.976226523997	coal	r1
22973.486486486487	13900.0	census	r1
23823.28228228228	14562.013861130841	coal	r1
23823.28228228228	13900.0	census	r1
24673.078078078077	14597.948952706985	coal	r1
24673.078078078077	13900.0	census	r1
25522.873873873872	14633.769436385659	coal	r1
25522.873873873872	13900.0	census	r1
26372.669669669667	14669.462544856497	coal	r1
26372.669669669667	13900.0	census	r1
27222.465465465466	14705.014767247503	coal	r1
27222.465465465466	13900.0	census	r1
28072.26126126126	14740.41180524555	coal	r1
28072.26126126126	13900.0	census	r1
28922.057057057056	14775.638526427407	coal	r1
28922.057057057056	13900.0	census	r1
29771.85285285285	14810.678914886688	coal	r1
29771.85285285285	13900.0	census	r1
30621.64864864865	14845.51601940434	coal	r1
30621.64864864865	13900.0	census	r1
31471.44444444444	14880.131899639104	coal	r1
31471.44444444444	13900.0	census	r1
32321.240240240237	14914.507571125763	coal	r1
32321.240240240237	13900.0	census	r1
33171.036036036036	14948.622950287132	coal	r1
33171.036036036036	13900.0	census	r1
34020.83183183183	14982.456801205779	coal	r1
34020.83183183183	13900.0	census	r1
34870.627627627626	15015.98668659405	coal	r1
34870.627627627626	13900.0	census	r1
35720.423423423425	15049.188926260353	coal	r1
35720.423423423425	13900.0	census	r1
36570.219219219216	15051.324643862077	coal	r1
36570.219219219216	13900.0	census	r1
37420.015015015015	15168.454683759855	coal	r1
37420.015015015015	13900.0	census	r1
38269.810810810806	15188.862573393684	coal	r1
38269.810810810806	13900.0	census	r1
39119.606606606605	15121.765201909759	coal	r1
39119.606606606605	13900.0	census	r1
39969.4024024024	14978.49139260353	coal	r1
39969.4024024024	13900.0	census	r1
40819.1981981982	14771.41683756174	coal	r1
40819.1981981982	13900.0	census	r1
41668.993993993994	14513.041412483684	coal	r1
41668.993993993994	13900.0	census	r1
42518.789789789786	14215.277850712684	coal	r1
42518.789789789786	13900.0	census	r1
43368.585585585584	13888.969299001477	coal	r1
43368.585585585584	13900.0	census	r1
44218.381381381376	13543.616366754024	coal	r1
44218.381381381376	13900.0	census	r1
45068.17717717718	13187.273992510829	coal	r1
45068.17717717718	13900.0	census	r1
45917.97297297297	12826.57205090474	coal	r1
45917.97297297297	13900.0	census	r1
46767.768768768765	12466.816473986117	coal	r1
46767.768768768765	13900.0	census	r1
47617.56456456456	12112.135287546575	coal	r1
47617.56456456456	13900.0	census	r1
48467.360360360355	11765.643031576026	coal	r1
48467.360360360355	13900.0	census	r1
49317.156156156154	11429.605524340242	coal	r1
49317.156156156154	13900.0	census	r1
50166.95195195195	11105.593893889647	coal	r1
50166.95195195195	13900.0	census	r1
51016.747747747744	10794.622001332455	coal	r1
51016.747747747744	13900.0	census	r1
51866.54354354354	10497.26496721452	coal	r1
51866.54354354354	13900.0	census	r1
52716.339339339334	10213.758797411201	coal	r1
52716.339339339334	13900.0	census	r1
53566.13513513513	9944.082425919047	coal	r1
53566.13513513513	13900.0	census	r1
54415.93093093093	9688.024147018856	coal	r1
54415.93093093093	13900.0	census	r1
55265.72672672672	9445.234633667556	coal	r1
55265.72672672672	13900.0	census	r1
56115.52252252252	9215.26870437145	coal	r1
56115.52252252252	13900.0	census	r1
56965.318318318314	8997.617825376685	coal	r1
56965.318318318314	13900.0	census	r1
57815.11411411411	8791.73509555583	coal	r1
57815.11411411411	13900.0	census	r1
58664.909909909904	8597.054204997634	coal	r1
58664.909909909904	13900.0	census	r1
59514.7057057057	8413.003611935033	coal	r1
59514.7057057057	13900.0	census	r1
60364.5015015015	8239.016959855591	coal	r1
60364.5015015015	13900.0	census	r1
61214.2972972973	14646.54325567239	coal	r1
61214.2972972973	13900.0	census	r1
62064.093093093084	14643.007269726528	coal	r1
62064.093093093084	13900.0	census	r1
62913.88888888888	14658.658142702385	coal	r1
62913.88888888888	13900.0	census	r1
63763.68468468469	14674.296495706578	coal	r1
63763.68468468469	13900.0	census	r1
64613.48048048047	14689.922276249381	coal	r1
64613.48048048047	13900.0	census	r1
65463.27627627627	14705.535432140512	coal	r1
65463.27627627627	13900.0	census	r1
66313.07207207207	14721.135911487887	coal	r1
66313.07207207207	13900.0	census	r1
67162.86786786787	14736.723662698723	coal	r1
67162.86786786787	13900.0	census	r1
68012.66366366365	14752.298634478959	coal	r1
68012.66366366365	13900.0	census	r1
68862.45945945945	14767.860775834532	coal	r1
68862.45945945945	13900.0	census	r1
69712.25525525525	14783.410036069068	coal	r1
69712.25525525525	13900.0	census	r1
70562.05105105105	14798.94636478556	coal	r1
70562.05105105105	13900.0	census	r1
71411.84684684685	14814.469711887416	coal	r1
71411.84684684685	13900.0	census	r1
72261.64264264265	14829.980027574946	coal	r1
72261.64264264265	13900.0	census	r1
73111.43843843843	14845.477262348086	coal	r1
73111.43843843843	13900.0	census	r1
73961.23423423423	14860.961367007661	coal	r1
73961.23423423423	13900.0	census	r1
74811.03003003003	14876.4322926502	coal	r1
74811.03003003003	13900.0	census	r1
75660.82582582583	14891.889990673026	coal	r1
75660.82582582583	13900.0	census	r1
76510.62162162161	14907.334412770968	coal	r1
76510.62162162161	13900.0	census	r1
77360.41741741741	14922.765510940842	coal	r1
77360.41741741741	13900.0	census	r1
78210.21321321321	14938.183237472986	coal	r1
78210.21321321321	13900.0	census	r1
79060.009009009	14953.587544958387	coal	r1
79060.009009009	13900.0	census	r1
79909.8048048048	14968.978386290337	coal	r1
79909.8048048048	13900.0	census	r1
80759.6006006006	14984.35571465318	coal	r1
80759.6006006006	13900.0	census	r1
81609.3963963964	14999.719483534189	coal	r1
81609.3963963964	13900.0	census	r1
82459.19219219219	15015.069646715554	coal	r1
82459.19219219219	13900.0	census	r1
83308.98798798799	15030.406158284703	coal	r1
83308.98798798799	13900.0	census	r1
84158.78378378379	15045.728972615545	coal	r1
84158.78378378379	13900.0	census	r1
85008.57957957957	15061.038044384424	coal	r1
85008.57957957957	13900.0	census	r1
85858.37537537537	15076.33332857342	coal	r1
85858.37537537537	13900.0	census	r1
86708.17117117117	15091.614780446154	coal	r1
86708.17117117117	13900.0	census	r1
87557.96696696695	15106.88235557041	coal	r1
87557.96696696695	13900.0	census	r1
88407.76276276275	15122.136009820846	coal	r1
88407.76276276275	13900.0	census	r1
89257.55855855855	15137.37569934967	coal	r1
89257.55855855855	13900.0	census	r1
90107.35435435436	15152.601380617964	coal	r1
90107.35435435436	13900.0	census	r1
90957.15015015015	15167.813010376589	coal	r1
90957.15015015015	13900.0	census	r1
91806.94594594595	15183.01054568473	coal	r1
91806.94594594595	13900.0	census	r1
92656.74174174175	15198.19394387831	coal	r1
92656.74174174175	13900.0	census	r1
93506.53753753753	15213.363162598009	coal	r1
93506.53753753753	13900.0	census	r1
94356.33333333333	15228.518159788911	coal	r1
94356.33333333333	13900.0	census	r1
95206.12912912913	15243.658893672025	coal	r1
95206.12912912913	13900.0	census	r1
96055.92492492491	15258.785322772284	coal	r1
96055.92492492491	13900.0	census	r1
96905.72072072071	15273.897405918158	coal	r1
96905.72072072071	13900.0	census	r1
97755.51651651651	15288.995102213163	coal	r1
97755.51651651651	13900.0	census	r1
98605.31231231231	15304.078371066935	coal	r1
98605.31231231231	13900.0	census	r1
99455.1081081081	15319.147172176105	coal	r1
99455.1081081081	13900.0	census	r1
100304.9039039039	15334.201465542694	coal	r1
100304.9039039039	13900.0	census	r1
101154.6996996997	15349.241211442477	coal	r1
101154.6996996997	13900.0	census	r1
102004.49549549549	15364.266370452913	coal	r1
102004.49549549549	13900.0	census	r1
102854.29129129129	15379.276903452701	coal	r1
102854.29129129129	13900.0	census	r1
103704.08708708709	15394.272771593207	coal	r1
103704.08708708709	13900.0	census	r1
104553.88288288287	15409.253936326413	coal	r1
104553.88288288287	13900.0	census	r1
105403.67867867867	15424.220359404397	coal	r1
105403.67867867867	13900.0	census	r1
106253.47447447447	15439.172002850812	coal	r1
106253.47447447447	13900.0	census	r1
107103.27027027027	15454.108828991853	coal	r1
107103.27027027027	13900.0	census	r1
107953.06606606607	15469.03080043703	coal	r1
107953.06606606607	13900.0	census	r1
108802.86186186186	15483.937880097525	coal	r1
