"x","rep","method"
67511.3948588658,"rep1","dadi"
67121.7789970132,"rep2","dadi"
67192.7046750553,"rep3","dadi"
15800,"truth","dadi"
73850.9,"rep1","fsc"
76074.3,"rep2","fsc"
75642.4,"rep3","fsc"
15800,"truth","fsc"
99463.9920314766,"rep1","smcpp"
104779.685303029,"rep2","smcpp"
63925.1658097379,"rep3","smcpp"
15800,"truth","smcpp"
