"x","rep","method"
141802.533067719,"rep1","dadi"
136535.083800424,"rep2","dadi"
140835.940991143,"rep3","dadi"
140000,"truth","dadi"
149175,"rep1","fsc"
127175,"rep2","fsc"
133175,"rep3","fsc"
140000,"truth","fsc"
55082.8129146547,"rep1","smcpp"
76459.9367122069,"rep2","smcpp"
74146.2204276205,"rep3","smcpp"
140000,"truth","smcpp"
